CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U28112TG2021PTC152442,STEELO STRUCTURES PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,5000000,5000000,22-06-2021,"Survey No 12, Kucharam Village   Near Kucharam Bus Stand,Manoharabad,Medak,Telangana,502336-India",Unlisted,Strike Off,telangana,Indian,28112,"Manufacturing (Metals and Chemicals, and products thereof)"
U74994TG2020PTC142062,WATERLEAF ACADEMY PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,500000,100000,23-07-2020,"Plot No 23, First Floor,Nagarjuna Hills,   Behind ICICI Bank, Punjagutta,,Hyderabad,Hyderabad,Telangana,500082-India",Unlisted,Active,telangana,Indian,74994,Business Services
U31900TG2020PTC141237,NCLEVER INDIA PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,100000,100000,29-06-2020,"Plot No-21-A- 304   6th Phase, KPHB Colony,Hyderabad,Hyderabad,Telangana,500072-India",Unlisted,Active,telangana,Indian,31900,Manufacturing (Machinery and Equipments)
U31904TG2020PTC143171,MOOMA TECHNOLOGIES PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,100000,10000,25-08-2020,"Flat No 503, G- Block,Sri Mahalakshmi   Residency,GoldenHeightColony,Upperapally,Hyderabad,Rangareddi,Telangana,500048-India",Unlisted,Active,telangana,Indian,31904,Manufacturing (Machinery and Equipments)
U31909TG2020PTC141328,ANDES INNOVATIVE PRODUCTS PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,100000,100000,02-07-2020,"Plot No-48,  Electronic Complex,   Kapra Mandal, Medchal-Malkahgiri,Secunderabad,Medak,Telangana,500062-India",Unlisted,Active,telangana,Indian,31909,Manufacturing (Machinery and Equipments)
U31909TG2020PTC141843,SRUJANA ROBOTICS PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,1000000,100000,17-07-2020,"8-3-960/12,Rohini Apartments,Flat No.502   Near State Bank of India,SriNagar Colony,Hyderabad,Rangareddi,Telangana,500073-India",Unlisted,Active,telangana,Indian,31909,Manufacturing (Machinery and Equipments)
U31909TG2022PTC164156,SANSHINA ELECTRONIC PRODUCTS AND SERVICES PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,100000,100000,28-06-2022,"S-1 P NO 31, SRI DATTA SAI RESIDE   WEST GANDHI NAGAR, NAGARAM,HYDERABAD,Rangareddi,Telangana,500083-India",Unlisted,Active,telangana,Indian,31909,Manufacturing (Machinery and Equipments)
U62013TS2023PTC173660,UDSAV TECHSOFT PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,1000000,100000,01-06-2023,"FLAT NO4, FIRST FLOOR,,SANKEPALLY ARCADE, PLOT98,Rangareddy,Rangareddy,Telangana,500089-India",Unlisted,Active,telangana,Indian,62013,Business Services
U62013TS2023PTC174315,SEGUEWAY INFOTECH PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,100000,100000,23-06-2023,"9-136/2, Lalitha Nagar,Beside Sai Baba Temple,,Saroornagar,K.V.Rangareddy,Telangana,500060-India",Unlisted,Active,telangana,Indian,62013,Business Services
U62013TS2023PTC174504,GRKDESIGNTECH PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,100000,100000,30-06-2023,"16-7-113, LAXMIPURAM,GIRMAJIPET,Warangal,Warangal,Telangana,506002-India",Unlisted,Active,telangana,Indian,62013,Business Services
